System,Year,Site,,,,,,,,,,BLTR_km
Kakwa,1997,1003984,KAKWA RIVER,214470.7614,6017400.558,86000,1,1,,,,0.011627907
Kakwa,1997,1004010,KAKWA RIVER,246047.4562,6015847.405,86000,3,,,,,0
Kakwa,1997,1004038,KAKWA RIVER,208719.3885,6018343.321,32000,,1,,,,0.03125
Kakwa,1997,1004055,KAKWA RIVER,217923.3233,6017828.027,86000,,1,,,,0.011627907
Kakwa,1997,1004071,KAKWA RIVER,220562.0693,6017755.097,86000,1,,,,,0
Kakwa,1997,1004094,KAKWA RIVER,243734.8652,6016599.246,86000,1,2,,,,0.023255814
Kakwa,1997,1004096,KAKWA RIVER,219081.8834,6017996.295,86000,1,1,,,,0.011627907
Kakwa,1997,1004102,KAKWA RIVER,244518.5335,6016589.217,86000,1,,,,,0
Kakwa,1997,1004108,KAKWA RIVER,243128.042,6016672.64,86000,,2,,,,0.023255814
Kakwa,1997,1004132,KAKWA RIVER,251151.2451,6016931.36,86000,4,,,,,0
Kakwa,1997,1004134,KAKWA RIVER,249727.4951,6017092.961,86000,9,,,,,0
Kakwa,1997,1004137,KAKWA RIVER,220599.3376,6018831.024,86000,2,,,,,0
Kakwa,1997,1004139,KAKWA RIVER,241671.1742,6017732.511,86000,6,,,,,0
Kakwa,1997,1004149,KAKWA RIVER,221283.4725,6019057.63,86000,1,,,,,0
Kakwa,1997,1004154,KAKWA RIVER,223112.5051,6019189.847,86000,2,,,,,0
Kakwa,1997,1004155,KAKWA RIVER,222550.9655,6019306.88,86000,,2,,,,0.023255814
Kakwa,1997,1004185,KAKWA RIVER,240425.007,6019232.957,86000,1,2,,,,0.023255814
Kakwa,1997,1004192,KAKWA RIVER,250636.2224,6018857.438,86000,1,1,,,,0.011627907
Kakwa,1997,1004197,KAKWA RIVER,239512.8268,6019529.976,86000,2,,,,,0
Kakwa,1997,1004205,KAKWA RIVER,251462.7746,6019298.122,86000,5,,,,,0
Kakwa,1997,1004209,KAKWA RIVER,253476.7147,6019203.99,86000,1,1,,,,0.011627907
Kakwa,1997,1004239,KAKWA RIVER,237387.3048,6020828.102,86000,2,1,,,,0.011627907
Kakwa,1997,1004263,KAKWA RIVER,233987.4083,6021383.363,86000,,1,,,,0.011627907
Kakwa,1997,1004277,KAKWA RIVER,230799.0358,6021849.596,86000,1,,,,,0
Kakwa,1997,1004289,KAKWA RIVER,236697.3422,6021832.278,86000,1,,,,,0
Kakwa,1997,1004302,KAKWA RIVER,256848.4847,6022537.117,86000,3,1,,,,0.011627907
Kakwa,1997,1004304,KAKWA RIVER,262127.4838,6025286.856,86000,3,1,,,,0.011627907
Kakwa,,Grand Total,,,,,55,57,0.179317083,,,
Kakwa,,,,,,,,,,,,
Kakwa,,2008,,,,,,,,,,
Kakwa,,Row Labels,Tributary Official Name,TTM Easting,TTM Northing,Distance (m),ARGR,BLTR,LNSC,MNWH,RNTR,
Kakwa,2008,2656613,UNNAMED,216944.864,6000148.441,6500,2,7,18,134,1,1.076923077
Kakwa,,Grand Total,,,,,2,7,18,134,1,
