Waterbody Official Name,Activity Date,Survey Type,Equipment Type,Survey Comments,HUC,TTM Easting,TTM Northing,UTM Easting,UTM Northing,UTM Ref Mer,Latitude,Longitude,ATS QTR,ATS SEC,ATS TWP,ATS RGE,ATS MER,Location Comments,Distance (m),Time (s),Time (h),Angler Count,Pass Number,Captured Count,Total Count of Species by SurveyID,Species Code,Species Common Name,Weight (g),Fork Length (mm),Total Length (mm),Gender,Age,Water Temp (C),Water Conductivity (uS/cm),Dissolved Oxygen (mg/L),Wetted Width (m),Rooted Width (m),Conducted By,Inventory Project ID,Project Location ID,Inventory Survey ID
Freeman HUC8,20-May-08,Electrofishing,BACKPACK,"Observed but did not capture 3 ARGR (all approx 200 mm FL), 1 LNSC (approx 150 mm FL) and 1 LKCH (approx 70 mm FL)",17010603,472263.192,6041004.897,601652,6044474,-117 (Zone 11),54.537606,-115.428858,SW,15,64,10,5,Fm 3 - downstream of culvert. Judy Creek,300,2100,,,,1,11,LKCH,LAKE CHUB,,39,,U,,,,,,,FISHERIES MANAGEMENT,13367,2241713,501704
Freeman HUC8,20-May-08,Electrofishing,BACKPACK,"Observed but did not capture 3 ARGR (all approx 200 mm FL), 1 LNSC (approx 150 mm FL) and 1 LKCH (approx 70 mm FL)",17010603,472263.192,6041004.897,601652,6044474,-117 (Zone 11),54.537606,-115.428858,SW,15,64,10,5,Fm 3 - downstream of culvert. Judy Creek,300,2100,,,,1,11,LKCH,LAKE CHUB,,47,,U,,,,,,,FISHERIES MANAGEMENT,13367,2241713,501704
Freeman HUC8,20-May-08,Electrofishing,BACKPACK,"Observed but did not capture 3 ARGR (all approx 200 mm FL), 1 LNSC (approx 150 mm FL) and 1 LKCH (approx 70 mm FL)",17010603,472263.192,6041004.897,601652,6044474,-117 (Zone 11),54.537606,-115.428858,SW,15,64,10,5,Fm 3 - downstream of culvert. Judy Creek,300,2100,,,,1,11,LKCH,LAKE CHUB,,49,,U,,,,,,,FISHERIES MANAGEMENT,13367,2241713,501704
Freeman HUC8,20-May-08,Electrofishing,BACKPACK,"Observed but did not capture 3 ARGR (all approx 200 mm FL), 1 LNSC (approx 150 mm FL) and 1 LKCH (approx 70 mm FL)",17010603,472263.192,6041004.897,601652,6044474,-117 (Zone 11),54.537606,-115.428858,SW,15,64,10,5,Fm 3 - downstream of culvert. Judy Creek,300,2100,,,,2,11,LKCH,LAKE CHUB,,51,,U,,,,,,,FISHERIES MANAGEMENT,13367,2241713,501704
Freeman HUC8,20-May-08,Electrofishing,BACKPACK,"Observed but did not capture 3 ARGR (all approx 200 mm FL), 1 LNSC (approx 150 mm FL) and 1 LKCH (approx 70 mm FL)",17010603,472263.192,6041004.897,601652,6044474,-117 (Zone 11),54.537606,-115.428858,SW,15,64,10,5,Fm 3 - downstream of culvert. Judy Creek,300,2100,,,,1,11,LKCH,LAKE CHUB,,54,,U,,,,,,,FISHERIES MANAGEMENT,13367,2241713,501704
Freeman HUC8,20-May-08,Electrofishing,BACKPACK,"Observed but did not capture 3 ARGR (all approx 200 mm FL), 1 LNSC (approx 150 mm FL) and 1 LKCH (approx 70 mm FL)",17010603,472263.192,6041004.897,601652,6044474,-117 (Zone 11),54.537606,-115.428858,SW,15,64,10,5,Fm 3 - downstream of culvert. Judy Creek,300,2100,,,,1,11,LKCH,LAKE CHUB,,57,,U,,,,,,,FISHERIES MANAGEMENT,13367,2241713,501704
Freeman HUC8,20-May-08,Electrofishing,BACKPACK,"Observed but did not capture 3 ARGR (all approx 200 mm FL), 1 LNSC (approx 150 mm FL) and 1 LKCH (approx 70 mm FL)",17010603,472263.192,6041004.897,601652,6044474,-117 (Zone 11),54.537606,-115.428858,SW,15,64,10,5,Fm 3 - downstream of culvert. Judy Creek,300,2100,,,,1,11,LKCH,LAKE CHUB,,59,,U,,,,,,,FISHERIES MANAGEMENT,13367,2241713,501704
Freeman HUC8,20-May-08,Electrofishing,BACKPACK,"Observed but did not capture 3 ARGR (all approx 200 mm FL), 1 LNSC (approx 150 mm FL) and 1 LKCH (approx 70 mm FL)",17010603,472263.192,6041004.897,601652,6044474,-117 (Zone 11),54.537606,-115.428858,SW,15,64,10,5,Fm 3 - downstream of culvert. Judy Creek,300,2100,,,,1,11,LKCH,LAKE CHUB,,60,,U,,,,,,,FISHERIES MANAGEMENT,13367,2241713,501704
Freeman HUC8,20-May-08,Electrofishing,BACKPACK,"Observed but did not capture 3 ARGR (all approx 200 mm FL), 1 LNSC (approx 150 mm FL) and 1 LKCH (approx 70 mm FL)",17010603,472263.192,6041004.897,601652,6044474,-117 (Zone 11),54.537606,-115.428858,SW,15,64,10,5,Fm 3 - downstream of culvert. Judy Creek,300,2100,,,,1,11,LKCH,LAKE CHUB,,61,,U,,,,,,,FISHERIES MANAGEMENT,13367,2241713,501704
Freeman HUC8,29-May-08,Aquatic Habitat Assessment,,Fm70,17010603,443392.388,6057944.785,572297,6060593,-117 (Zone 11),54.687482,-115.87848,NE,3,66,13,5,Fm70  d/s of road crossing,,,,,,,,,,,,,,,11.9,134.5,10.5,,4.3,FISHERIES MANAGEMENT,13367,2241875,501906
Freeman HUC8,05-Jun-08,Electrofishing,BACKPACK,Observed but did not capture 1 BURB (aprox 190 mm FL) and 1 LKCH (approx 80 mm FL),17010603,463220.854,6045845.75,592471,6049058,-117 (Zone 11),54.58055,-115.569267,SE,34,64,11,5,Fm 16 - downstream of bridge. Unnamed tributary to Freeman River,300,1112,,,,,1,BURB,BURBOT,,,,U,,,,,,,FISHERIES MANAGEMENT,13367,2241714,501709
Freeman HUC8,05-Jun-08,Electrofishing,BACKPACK,Observed but did not capture 1 BURB (aprox 190 mm FL) and 1 LKCH (approx 80 mm FL),17010603,463220.854,6045845.75,592471,6049058,-117 (Zone 11),54.58055,-115.569267,SE,34,64,11,5,Fm 16 - downstream of bridge. Unnamed tributary to Freeman River,300,1112,,,,1,2,RNTR,RAINBOW TROUT,,67,,U,,,,,,,FISHERIES MANAGEMENT,13367,2241714,501709
Freeman HUC8,05-Jun-08,Electrofishing,BACKPACK,Observed but did not capture 1 BURB (aprox 190 mm FL) and 1 LKCH (approx 80 mm FL),17010603,463220.854,6045845.75,592471,6049058,-117 (Zone 11),54.58055,-115.569267,SE,34,64,11,5,Fm 16 - downstream of bridge. Unnamed tributary to Freeman River,300,1112,,,,1,3,LKCH,LAKE CHUB,,103,,U,,,,,,,FISHERIES MANAGEMENT,13367,2241714,501709
Freeman HUC8,05-Jun-08,Electrofishing,BACKPACK,Observed but did not capture 1 BURB (aprox 190 mm FL) and 1 LKCH (approx 80 mm FL),17010603,463220.854,6045845.75,592471,6049058,-117 (Zone 11),54.58055,-115.569267,SE,34,64,11,5,Fm 16 - downstream of bridge. Unnamed tributary to Freeman River,300,1112,,,,1,3,LKCH,LAKE CHUB,,97,,U,,,,,,,FISHERIES MANAGEMENT,13367,2241714,501709
Freeman HUC8,05-Jun-08,Electrofishing,BACKPACK,Observed but did not capture 1 BURB (aprox 190 mm FL) and 1 LKCH (approx 80 mm FL),17010603,463220.854,6045845.75,592471,6049058,-117 (Zone 11),54.58055,-115.569267,SE,34,64,11,5,Fm 16 - downstream of bridge. Unnamed tributary to Freeman River,300,1112,,,,2,3,LKCH,LAKE CHUB,,57,,U,,,,,,,FISHERIES MANAGEMENT,13367,2241714,501709
Freeman HUC8,05-Jun-08,Electrofishing,BACKPACK,Observed but did not capture 1 BURB (aprox 190 mm FL) and 1 LKCH (approx 80 mm FL),17010603,463220.854,6045845.75,592471,6049058,-117 (Zone 11),54.58055,-115.569267,SE,34,64,11,5,Fm 16 - downstream of bridge. Unnamed tributary to Freeman River,300,1112,,,,,3,LKCH,LAKE CHUB,,,,U,,,,,,,FISHERIES MANAGEMENT,13367,2241714,501709
Freeman HUC8,05-Jun-08,Electrofishing,BACKPACK,Observed but did not capture 1 BURB (aprox 190 mm FL) and 1 LKCH (approx 80 mm FL),17010603,463220.854,6045845.75,592471,6049058,-117 (Zone 11),54.58055,-115.569267,SE,34,64,11,5,Fm 16 - downstream of bridge. Unnamed tributary to Freeman River,300,1112,,,,1,3,ARGR,ARCTIC GRAYLING,,152,,U,,,,,,,FISHERIES MANAGEMENT,13367,2241714,501709
Freeman HUC8,05-Jun-08,Electrofishing,BACKPACK,Observed but did not capture 1 BURB (aprox 190 mm FL) and 1 LKCH (approx 80 mm FL),17010603,463220.854,6045845.75,592471,6049058,-117 (Zone 11),54.58055,-115.569267,SE,34,64,11,5,Fm 16 - downstream of bridge. Unnamed tributary to Freeman River,300,1112,,,,2,3,ARGR,ARCTIC GRAYLING,,107,,U,,,,,,,FISHERIES MANAGEMENT,13367,2241714,501709
Freeman HUC8,05-Jun-08,Electrofishing,BACKPACK,Observed but did not capture 1 BURB (aprox 190 mm FL) and 1 LKCH (approx 80 mm FL),17010603,463220.854,6045845.75,592471,6049058,-117 (Zone 11),54.58055,-115.569267,SE,34,64,11,5,Fm 16 - downstream of bridge. Unnamed tributary to Freeman River,300,1112,,,,1,3,ARGR,ARCTIC GRAYLING,,92,,U,,,,,,,FISHERIES MANAGEMENT,13367,2241714,501709
Freeman HUC8,05-Jun-08,Electrofishing,BACKPACK,Observed but did not capture 1 BURB (aprox 190 mm FL) and 1 LKCH (approx 80 mm FL),17010603,463220.854,6045845.75,592471,6049058,-117 (Zone 11),54.58055,-115.569267,SE,34,64,11,5,Fm 16 - downstream of bridge. Unnamed tributary to Freeman River,300,1112,,,,1,1,BURB,BURBOT,,187,,U,,,,,,,FISHERIES MANAGEMENT,13367,2241714,501709
Freeman HUC8,05-Jun-08,Electrofishing,BACKPACK,Observed but did not capture 1 BURB (aprox 190 mm FL) and 1 LKCH (approx 80 mm FL),17010603,463220.854,6045845.75,592471,6049058,-117 (Zone 11),54.58055,-115.569267,SE,34,64,11,5,Fm 16 - downstream of bridge. Unnamed tributary to Freeman River,300,1112,,,,1,2,RNTR,RAINBOW TROUT,,79,,U,,,,,,,FISHERIES MANAGEMENT,13367,2241714,501709
Freeman HUC8,05-Jun-08,Electrofishing,BACKPACK,Observed but did not capture 1 BURB approx 100 mm FL,17010603,463383.792,6045283.156,592650,6048500,-117 (Zone 11),54.575504,-115.566675,SE,34,64,11,5,Fm 16 - upstream of bridge. ,300,1000,,,,1,5,RNTR,RAINBOW TROUT,,193,,U,,,,,,,FISHERIES MANAGEMENT,13367,2241715,501710
Freeman HUC8,05-Jun-08,Electrofishing,BACKPACK,Observed but did not capture 1 BURB approx 100 mm FL,17010603,463383.792,6045283.156,592650,6048500,-117 (Zone 11),54.575504,-115.566675,SE,34,64,11,5,Fm 16 - upstream of bridge. ,300,1000,,,,,,BURB,BURBOT,,,,U,,,,,,,FISHERIES MANAGEMENT,13367,2241715,501710
Freeman HUC8,05-Jun-08,Electrofishing,BACKPACK,Observed but did not capture 1 BURB approx 100 mm FL,17010603,463383.792,6045283.156,592650,6048500,-117 (Zone 11),54.575504,-115.566675,SE,34,64,11,5,Fm 16 - upstream of bridge. ,300,1000,,,,1,2,ARGR,ARCTIC GRAYLING,,73,,U,,,,,,,FISHERIES MANAGEMENT,13367,2241715,501710
Freeman HUC8,05-Jun-08,Electrofishing,BACKPACK,Observed but did not capture 1 BURB approx 100 mm FL,17010603,463383.792,6045283.156,592650,6048500,-117 (Zone 11),54.575504,-115.566675,SE,34,64,11,5,Fm 16 - upstream of bridge. ,300,1000,,,,1,2,ARGR,ARCTIC GRAYLING,,126,,U,,,,,,,FISHERIES MANAGEMENT,13367,2241715,501710
Freeman HUC8,05-Jun-08,Electrofishing,BACKPACK,Observed but did not capture 1 BURB approx 100 mm FL,17010603,463383.792,6045283.156,592650,6048500,-117 (Zone 11),54.575504,-115.566675,SE,34,64,11,5,Fm 16 - upstream of bridge. ,300,1000,,,,1,5,RNTR,RAINBOW TROUT,,155,,U,,,,,,,FISHERIES MANAGEMENT,13367,2241715,501710
Freeman HUC8,05-Jun-08,Electrofishing,BACKPACK,Observed but did not capture 1 BURB approx 100 mm FL,17010603,463383.792,6045283.156,592650,6048500,-117 (Zone 11),54.575504,-115.566675,SE,34,64,11,5,Fm 16 - upstream of bridge. ,300,1000,,,,1,2,LKCH,LAKE CHUB,,64,,U,,,,,,,FISHERIES MANAGEMENT,13367,2241715,501710
Freeman HUC8,05-Jun-08,Electrofishing,BACKPACK,Observed but did not capture 1 BURB approx 100 mm FL,17010603,463383.792,6045283.156,592650,6048500,-117 (Zone 11),54.575504,-115.566675,SE,34,64,11,5,Fm 16 - upstream of bridge. ,300,1000,,,,1,5,RNTR,RAINBOW TROUT,,76,,U,,,,,,,FISHERIES MANAGEMENT,13367,2241715,501710
Freeman HUC8,05-Jun-08,Electrofishing,BACKPACK,Observed but did not capture 1 BURB approx 100 mm FL,17010603,463383.792,6045283.156,592650,6048500,-117 (Zone 11),54.575504,-115.566675,SE,34,64,11,5,Fm 16 - upstream of bridge. ,300,1000,,,,1,5,RNTR,RAINBOW TROUT,,125,,U,,,,,,,FISHERIES MANAGEMENT,13367,2241715,501710
Freeman HUC8,05-Jun-08,Electrofishing,BACKPACK,Observed but did not capture 1 BURB approx 100 mm FL,17010603,463383.792,6045283.156,592650,6048500,-117 (Zone 11),54.575504,-115.566675,SE,34,64,11,5,Fm 16 - upstream of bridge. ,300,1000,,,,1,5,RNTR,RAINBOW TROUT,,154,,U,,,,,,,FISHERIES MANAGEMENT,13367,2241715,501710
Freeman HUC8,05-Jun-08,Electrofishing,BACKPACK,Observed but did not capture 1 BURB approx 100 mm FL,17010603,463383.792,6045283.156,592650,6048500,-117 (Zone 11),54.575504,-115.566675,SE,34,64,11,5,Fm 16 - upstream of bridge. ,300,1000,,,,1,2,LKCH,LAKE CHUB,,55,,U,,,,,,,FISHERIES MANAGEMENT,13367,2241715,501710
Freeman HUC8,05-Jun-08,Electrofishing,BACKPACK,,17010603,463398.679,6046368.662,592634,6049586,-117 (Zone 11),54.585264,-115.56658,NE,34,64,11,5,Fm 17 - downstream of bridge. Unnamed tributary to Freeman River,300,1121,,,,1,9,LKCH,LAKE CHUB,,56,,U,,,,,,,FISHERIES MANAGEMENT,13367,2241716,501715
Freeman HUC8,05-Jun-08,Electrofishing,BACKPACK,,17010603,463398.679,6046368.662,592634,6049586,-117 (Zone 11),54.585264,-115.56658,NE,34,64,11,5,Fm 17 - downstream of bridge. Unnamed tributary to Freeman River,300,1121,,,,1,3,BURB,BURBOT,,193,,U,,,,,,,FISHERIES MANAGEMENT,13367,2241716,501715
Freeman HUC8,05-Jun-08,Electrofishing,BACKPACK,,17010603,463398.679,6046368.662,592634,6049586,-117 (Zone 11),54.585264,-115.56658,NE,34,64,11,5,Fm 17 - downstream of bridge. Unnamed tributary to Freeman River,300,1121,,,,1,3,BURB,BURBOT,,190,,U,,,,,,,FISHERIES MANAGEMENT,13367,2241716,501715
Freeman HUC8,05-Jun-08,Electrofishing,BACKPACK,,17010603,463398.679,6046368.662,592634,6049586,-117 (Zone 11),54.585264,-115.56658,NE,34,64,11,5,Fm 17 - downstream of bridge. Unnamed tributary to Freeman River,300,1121,,,,1,3,BURB,BURBOT,,141,,U,,,,,,,FISHERIES MANAGEMENT,13367,2241716,501715
Freeman HUC8,05-Jun-08,Electrofishing,BACKPACK,,17010603,463398.679,6046368.662,592634,6049586,-117 (Zone 11),54.585264,-115.56658,NE,34,64,11,5,Fm 17 - downstream of bridge. Unnamed tributary to Freeman River,300,1121,,,,1,4,TRPR,TROUT-PERCH,,94,,U,,,,,,,FISHERIES MANAGEMENT,13367,2241716,501715
Freeman HUC8,05-Jun-08,Electrofishing,BACKPACK,,17010603,463398.679,6046368.662,592634,6049586,-117 (Zone 11),54.585264,-115.56658,NE,34,64,11,5,Fm 17 - downstream of bridge. Unnamed tributary to Freeman River,300,1121,,,,1,4,TRPR,TROUT-PERCH,,74,,U,,,,,,,FISHERIES MANAGEMENT,13367,2241716,501715
Freeman HUC8,05-Jun-08,Electrofishing,BACKPACK,,17010603,463398.679,6046368.662,592634,6049586,-117 (Zone 11),54.585264,-115.56658,NE,34,64,11,5,Fm 17 - downstream of bridge. Unnamed tributary to Freeman River,300,1121,,,,1,4,TRPR,TROUT-PERCH,,72,,U,,,,,,,FISHERIES MANAGEMENT,13367,2241716,501715
Freeman HUC8,05-Jun-08,Electrofishing,BACKPACK,,17010603,463398.679,6046368.662,592634,6049586,-117 (Zone 11),54.585264,-115.56658,NE,34,64,11,5,Fm 17 - downstream of bridge. Unnamed tributary to Freeman River,300,1121,,,,1,4,TRPR,TROUT-PERCH,,70,,U,,,,,,,FISHERIES MANAGEMENT,13367,2241716,501715
Freeman HUC8,05-Jun-08,Electrofishing,BACKPACK,,17010603,463398.679,6046368.662,592634,6049586,-117 (Zone 11),54.585264,-115.56658,NE,34,64,11,5,Fm 17 - downstream of bridge. Unnamed tributary to Freeman River,300,1121,,,,1,2,WHSC,WHITE SUCKER,,71,,U,,,,,,,FISHERIES MANAGEMENT,13367,2241716,501715
Freeman HUC8,05-Jun-08,Electrofishing,BACKPACK,,17010603,463398.679,6046368.662,592634,6049586,-117 (Zone 11),54.585264,-115.56658,NE,34,64,11,5,Fm 17 - downstream of bridge. Unnamed tributary to Freeman River,300,1121,,,,1,2,WHSC,WHITE SUCKER,,173,,U,,,,,,,FISHERIES MANAGEMENT,13367,2241716,501715
Freeman HUC8,05-Jun-08,Electrofishing,BACKPACK,,17010603,463398.679,6046368.662,592634,6049586,-117 (Zone 11),54.585264,-115.56658,NE,34,64,11,5,Fm 17 - downstream of bridge. Unnamed tributary to Freeman River,300,1121,,,,1,1,SPSC,SPOONHEAD SCULPIN,,73,,U,,,,,,,FISHERIES MANAGEMENT,13367,2241716,501715
Freeman HUC8,05-Jun-08,Electrofishing,BACKPACK,,17010603,463398.679,6046368.662,592634,6049586,-117 (Zone 11),54.585264,-115.56658,NE,34,64,11,5,Fm 17 - downstream of bridge. Unnamed tributary to Freeman River,300,1121,,,,1,1,RNTR,RAINBOW TROUT,,78,,U,,,,,,,FISHERIES MANAGEMENT,13367,2241716,501715
Freeman HUC8,05-Jun-08,Electrofishing,BACKPACK,,17010603,463398.679,6046368.662,592634,6049586,-117 (Zone 11),54.585264,-115.56658,NE,34,64,11,5,Fm 17 - downstream of bridge. Unnamed tributary to Freeman River,300,1121,,,,1,5,LNDC,LONGNOSE DACE,,78,,U,,,,,,,FISHERIES MANAGEMENT,13367,2241716,501715
Freeman HUC8,05-Jun-08,Electrofishing,BACKPACK,,17010603,463398.679,6046368.662,592634,6049586,-117 (Zone 11),54.585264,-115.56658,NE,34,64,11,5,Fm 17 - downstream of bridge. Unnamed tributary to Freeman River,300,1121,,,,2,5,LNDC,LONGNOSE DACE,,74,,U,,,,,,,FISHERIES MANAGEMENT,13367,2241716,501715
Freeman HUC8,05-Jun-08,Electrofishing,BACKPACK,,17010603,463398.679,6046368.662,592634,6049586,-117 (Zone 11),54.585264,-115.56658,NE,34,64,11,5,Fm 17 - downstream of bridge. Unnamed tributary to Freeman River,300,1121,,,,1,5,LNDC,LONGNOSE DACE,,73,,U,,,,,,,FISHERIES MANAGEMENT,13367,2241716,501715
Freeman HUC8,05-Jun-08,Electrofishing,BACKPACK,,17010603,463398.679,6046368.662,592634,6049586,-117 (Zone 11),54.585264,-115.56658,NE,34,64,11,5,Fm 17 - downstream of bridge. Unnamed tributary to Freeman River,300,1121,,,,1,5,LNDC,LONGNOSE DACE,,64,,U,,,,,,,FISHERIES MANAGEMENT,13367,2241716,501715
Freeman HUC8,05-Jun-08,Electrofishing,BACKPACK,,17010603,463398.679,6046368.662,592634,6049586,-117 (Zone 11),54.585264,-115.56658,NE,34,64,11,5,Fm 17 - downstream of bridge. Unnamed tributary to Freeman River,300,1121,,,,1,5,LNDC,LONGNOSE DACE,,49,,U,,,,,,,FISHERIES MANAGEMENT,13367,2241716,501715
Freeman HUC8,05-Jun-08,Electrofishing,BACKPACK,,17010603,463398.679,6046368.662,592634,6049586,-117 (Zone 11),54.585264,-115.56658,NE,34,64,11,5,Fm 17 - downstream of bridge. Unnamed tributary to Freeman River,300,1121,,,,1,9,LKCH,LAKE CHUB,,110,,U,,,,,,,FISHERIES MANAGEMENT,13367,2241716,501715
Freeman HUC8,05-Jun-08,Electrofishing,BACKPACK,,17010603,463398.679,6046368.662,592634,6049586,-117 (Zone 11),54.585264,-115.56658,NE,34,64,11,5,Fm 17 - downstream of bridge. Unnamed tributary to Freeman River,300,1121,,,,1,9,LKCH,LAKE CHUB,,95,,U,,,,,,,FISHERIES MANAGEMENT,13367,2241716,501715
Freeman HUC8,05-Jun-08,Electrofishing,BACKPACK,,17010603,463398.679,6046368.662,592634,6049586,-117 (Zone 11),54.585264,-115.56658,NE,34,64,11,5,Fm 17 - downstream of bridge. Unnamed tributary to Freeman River,300,1121,,,,1,9,LKCH,LAKE CHUB,,92,,U,,,,,,,FISHERIES MANAGEMENT,13367,2241716,501715
Freeman HUC8,05-Jun-08,Electrofishing,BACKPACK,,17010603,463398.679,6046368.662,592634,6049586,-117 (Zone 11),54.585264,-115.56658,NE,34,64,11,5,Fm 17 - downstream of bridge. Unnamed tributary to Freeman River,300,1121,,,,1,9,LKCH,LAKE CHUB,,91,,U,,,,,,,FISHERIES MANAGEMENT,13367,2241716,501715
Freeman HUC8,05-Jun-08,Electrofishing,BACKPACK,,17010603,463398.679,6046368.662,592634,6049586,-117 (Zone 11),54.585264,-115.56658,NE,34,64,11,5,Fm 17 - downstream of bridge. Unnamed tributary to Freeman River,300,1121,,,,2,9,LKCH,LAKE CHUB,,77,,U,,,,,,,FISHERIES MANAGEMENT,13367,2241716,501715
Freeman HUC8,05-Jun-08,Electrofishing,BACKPACK,,17010603,463398.679,6046368.662,592634,6049586,-117 (Zone 11),54.585264,-115.56658,NE,34,64,11,5,Fm 17 - downstream of bridge. Unnamed tributary to Freeman River,300,1121,,,,1,9,LKCH,LAKE CHUB,,73,,U,,,,,,,FISHERIES MANAGEMENT,13367,2241716,501715
Freeman HUC8,05-Jun-08,Electrofishing,BACKPACK,,17010603,463398.679,6046368.662,592634,6049586,-117 (Zone 11),54.585264,-115.56658,NE,34,64,11,5,Fm 17 - downstream of bridge. Unnamed tributary to Freeman River,300,1121,,,,1,9,LKCH,LAKE CHUB,,57,,U,,,,,,,FISHERIES MANAGEMENT,13367,2241716,501715
