,,,,,,,,,,,,Catch,,,,Catch Rate (fish / 100m),,,,Catch Rate (fish / 100s),,,,,,,
25,30,UP-01-FLOAT,NORDEGG RIVER,445105,5840987,Middle Nordegg River,2016-06-01,Float Electrofishing,22.33333333,2000,2255,2,4,0,11,0,0,0,1,0,0,0,0,2153,NORDEGG RIVER,RIV-MAJ-REP-PRI,5
26,32,UP-02-FLOAT,NORDEGG RIVER,445788,5841157,Middle Nordegg River,2016-06-01,Float Electrofishing,29.33333333,2000,2592,16,7,0,7,1,0,0,0,1,0,0,0,2153,NORDEGG RIVER,RIV-MAJ-REP-PRI,5
27,28,MID-38,SYLVESTER CREEK,459572,5841626,Middle Nordegg River,2016-08-11,Backpack Electrofishing,2.066666667,150,1825,0,0,0,0,0,0,0,0,0,0,0,0,1743,SYLVESTER CREEK,STR-RECUR,2
28,4,LOW-08,UNNAMED,466213,5841693,Lower Nordegg River,2016-07-14,Backpack Electrofishing,1.633333333,300,1574,0,0,0,0,0,0,0,0,0,0,0,0,50876,UNNAMED,STR-INDEF,3
29,18,MID-13,UNNAMED,455723,5842187,Middle Nordegg River,2016-08-16,Backpack Electrofishing,6.313333333,300,2119,2,0,0,0,1,0,0,0,0,0,0,0,20388,UNNAMED,STR-RECUR,3
30,34,UP-03-FLOAT,NORDEGG RIVER,447220,5842215,Middle Nordegg River,2016-06-02,Float Electrofishing,31.66666667,2000,2150,2,3,0,10,0,0,0,0,0,0,0,0,2153,NORDEGG RIVER,RIV-MAJ-REP-PRI,5
31,2,LOW-05,UNNAMED,465733,5844708,Lower Nordegg River,2016-07-13,Backpack Electrofishing,3.5,300,3057,0,0,0,0,0,0,0,0,0,0,0,0,50762,UNNAMED,STR-INDEF,3
32,27,MID-37,SYLVESTER CREEK,456046,5845360,Middle Nordegg River,2016-08-11,Backpack Electrofishing,8.733333333,300,3529,8,0,0,0,3,0,0,0,0,0,0,0,1743,SYLVESTER CREEK,STR-RECUR,3
33,6,LOW-15,UNNAMED,470245,5848154,Lower Nordegg River,2016-07-13,Backpack Electrofishing,2.2,200,2766,0,0,0,0,0,0,0,0,0,0,0,0,50767,UNNAMED,STR-INDEF,3
34,3,LOW-06,UNNAMED,466859,5848869,Lower Nordegg River,2016-08-17,Backpack Electrofishing,3.766666667,300,4320,24,0,0,0,8,0,0,0,1,0,0,0,50762,UNNAMED,STR-RECUR,3
35,1,LOW-04,UNNAMED,469582,5849740,Lower Nordegg River,2016-07-12,Backpack Electrofishing,3,300,4153,0,0,0,0,0,0,0,0,0,0,0,0,50767,UNNAMED,STR-INDEF,3
36,5,LOW-14,UNNAMED,473759,5850044,Lower Nordegg River,2016-07-11,Backpack Electrofishing,4.633333333,100,844,0,0,0,0,0,0,0,0,0,0,0,0,50622,UNNAMED,STR-RECUR,3
37,9,LOW-25,UNNAMED,466081,5852037,Lower Nordegg River,2016-09-01,Backpack Electrofishing,3.733333333,300,2620,2,0,0,0,1,0,0,0,0,0,0,0,22558,UNNAMED,STR-INDEF,2
38,8,LOW-20,UNNAMED,481457,5852222,Lower Nordegg River,2016-08-16,Backpack Electrofishing,3.966666667,300,5522,0,0,0,0,0,0,0,0,0,0,0,0,22914,UNNAMED,STR-RECUR,3
39,7,LOW-16,UNNAMED,479595,5853946,Lower Nordegg River,2016-07-11,Backpack Electrofishing,6.3,300,3151,0,0,0,0,0,0,0,0,0,0,0,0,22914,UNNAMED,STR-RECUR,3
